Time,cyber_I_PhaseA,cyber_I_PhaseB,cyber_I_PhaseC,cyber_V_PhaseA,cyber_V_PhaseB,cyber_V_PhaseC,fault_classification,flag_detection,flag_cyber
0.0055,0.550136979,-0.296487601,-0.253649378,0.97082571,-0.447920655,-0.522905056,0,0,0
0.00555,0.550467071,-0.289172467,-0.261294604,0.970026383,-0.434318309,-0.535708073,0,0,0
0.0056,0.550661345,-0.281785986,-0.268875359,0.968987704,-0.420608796,-0.548378908,0,0,0
0.00565,0.550719753,-0.274329979,-0.276389774,0.967709931,-0.406795499,-0.560914432,0,0,0
0.0057,0.550642282,-0.266806286,-0.283835995,0.966193379,-0.392881825,-0.573311554,0,0,0
0.00575,0.55042895,-0.259216765,-0.291212185,0.964438424,-0.37887121,-0.585567214,0,0,0
0.0058,0.550079812,-0.251563288,-0.298516524,0.962445501,-0.364767111,-0.59767839,0,0,0
0.00585,0.549594953,-0.243847742,-0.30574721,0.960215106,-0.350573011,-0.609642095,0,0,0
0.0059,0.548974493,-0.236072033,-0.31290246,0.957747792,-0.336292413,-0.621455379,0,0,0
0.00595,0.548218584,-0.228238078,-0.319980506,0.955044172,-0.321928844,-0.633115328,0,0,0
0.006,0.547327413,-0.220347809,-0.326979604,0.952104916,-0.307485848,-0.644619068,0,0,0
0.00605,0.5463012,-0.212403173,-0.333898026,0.948930751,-0.292966991,-0.65596376,0,0,0
0.0061,0.545140196,-0.204406131,-0.340734065,0.945522465,-0.278375856,-0.667146609,0,0,0
0.00615,0.543844687,-0.196358654,-0.347486033,0.941880898,-0.263716043,-0.678164855,0,0,0
0.0062,0.542414994,-0.188262729,-0.354152265,0.93800695,-0.24899117,-0.68901578,0,0,0
0.00625,0.540851466,-0.180120351,-0.360731115,0.933901575,-0.234204868,-0.699696707,0,0,0
0.0063,0.539154491,-0.171933531,-0.36722096,0.929565784,-0.219360785,-0.710205,0,0,0
0.00635,0.537324485,-0.163704287,-0.373620198,0.925000645,-0.20446258,-0.720538065,0,0,0
0.0064,0.5353619,-0.15543465,-0.379927251,0.920207281,-0.18951393,-0.730693351,0,0,0
0.00645,0.53326722,-0.14712666,-0.38614056,0.91518687,-0.174518519,-0.740668352,0,0,0
0.0065,0.531040961,-0.138782367,-0.392258595,0.90994065,-0.159480046,-0.750460604,0,0,0
0.00655,0.528683673,-0.13040383,-0.398279844,0.90446991,-0.14440222,-0.76006769,0,0,0
0.0066,0.526195937,-0.121993116,-0.404202822,0.898776,-0.12928876,-0.769487239,0,0,0
0.00665,0.523578369,-0.113552301,-0.410026068,0.892860321,-0.114143395,-0.778716926,0,0,0
0.0067,0.520831613,-0.105083468,-0.415748145,0.886724333,-0.098969861,-0.787754471,0,0,0
0.00675,0.517956349,-0.096588707,-0.421367642,0.880369548,-0.083771902,-0.796597646,0,0,0
0.0068,0.514953286,-0.088070113,-0.426883172,0.873797536,-0.068553268,-0.805244268,0,0,0
0.00685,0.511823166,-0.079529791,-0.432293376,0.867009919,-0.053317716,-0.813692203,0,0,0
0.0069,0.508566763,-0.070969845,-0.437596917,0.860008373,-0.038069004,-0.821939369,0,0,0
0.00695,0.505184879,-0.06239239,-0.442792488,0.852794627,-0.022810898,-0.829983729,0,0,0
0.007,0.50167835,-0.053799542,-0.447878808,0.845370465,-0.007547162,-0.837823302,0,0,0
0.00705,0.49804804,-0.04519342,-0.45285462,0.837737719,0.007718435,-0.845456154,0,0,0
0.0071,0.494294847,-0.036576148,-0.457718699,0.829898276,0.022982125,-0.852880401,0,0,0
0.00715,0.490419696,-0.027949853,-0.462469843,0.821854072,0.038240143,-0.860094214,0,0,0
0.0072,0.486423543,-0.019316663,-0.46710688,0.813607092,0.053488722,-0.867095814,0,0,0
0.00725,0.482307374,-0.010678707,-0.471628667,0.805159372,0.0687241,-0.873883472,0,0,0
0.0073,0.478072204,-0.002038117,-0.476034088,0.796512997,0.083942518,-0.880455515,0,0,0
0.00735,0.473719079,0.006602975,-0.480322055,0.787670099,0.099140222,-0.886810321,0,0,0
0.0074,0.469249072,0.015242438,-0.48449151,0.77863286,0.114313462,-0.892946322,0,0,0
0.00745,0.464663286,0.023878139,-0.488541425,0.769403508,0.129458495,-0.898862003,0,0,0
0.0075,0.459962851,0.03250795,-0.4924708,0.759984319,0.144571586,-0.904555904,0,0,0
0.00755,0.455148927,0.041129739,-0.496278666,0.750377615,0.159649005,-0.910026621,0,0,0
0.0076,0.450222702,0.049741381,-0.499964083,0.740585768,0.174687034,-0.915272802,0,0,0
0.00765,0.44518539,0.05834075,-0.50352614,0.730611192,0.189681962,-0.920293153,0,0,0
0.0077,0.440038235,0.066925726,-0.506963961,0.720456347,0.204630089,-0.925086436,0,0,0
0.00775,0.434782506,0.075494189,-0.510276695,0.710123741,0.219527727,-0.929651468,0,0,0
0.0078,0.4294195,0.084044025,-0.513463526,0.699615921,0.234371201,-0.933987122,0,0,0
0.00785,0.423950541,0.092573126,-0.516523667,0.688935482,0.249156847,-0.938092329,0,0,0
0.0079,0.418376977,0.101079386,-0.519456363,0.678085058,0.263881018,-0.941966075,0,0,0
0.00795,0.412700184,0.109560708,-0.522260891,0.667067327,0.278540079,-0.945607406,0,0,0
0.008,0.406921562,0.118014997,-0.524936559,0.655885008,0.293130415,-0.949015423,0,0,0
0.00805,0.401042537,0.126440168,-0.527482706,0.644540861,0.307648425,-0.952189286,0,0,0
0.0081,0.39506456,0.134834143,-0.529898703,0.633037684,0.322090526,-0.95512821,0,0,0
