Time,Va_B5,Vb_B5,Vc_B5,Ia_B5,Ib_B5,Ic_B5
1.6485,0.535723206579896,0.434346370470985,-0.970069577060487,0.34402871943904,0.200416806016126,-0.544445525293397
1.649,0.402298275486703,0.564995325509268,-0.967293601018086,0.272519361414317,0.278093011582395,-0.550612372856531
1.6495,0.258967420712112,0.681732221401138,-0.940699642147329,0.194299671670535,0.348921645705043,-0.543221317260437
1.65,0.1092599335399,0.781682604292871,-0.890942537877974,0.111295678601046,0.41115866993864,-0.522454348452421
1.6505,-0.043137898746795,0.862385371372787,-0.819247472681207,0.0255512180494356,0.463271603269845,-0.488822821262038
1.651,-0.194473533056388,0.921853345050277,-0.727379812057755,-0.0608224001024078,0.503977253004413,-0.443154852876197
1.6515,-0.341020580241023,0.958622231294988,-0.617601651124911,-0.145698367509355,0.532273308808897,-0.386574941305803
1.652,-0.479170573976644,0.971786657968761,-0.492616084068395,-0.226986757983755,0.547463030611425,-0.320476272665846
1.6525,-0.605521793226804,0.961022468599229,-0.355500675452158,-0.302685981867271,0.54917239483648,-0.24648641303836
1.653,-0.716963058768976,0.926594720683046,-0.209631661995293,-0.370932070764936,0.537359312069947,-0.166427241403434
1.6535,-0.810750315083629,0.869351132391886,-0.0586008173889714,-0.430044582786591,0.512314660528942,-0.0822700778676216
1.654,-0.884574204302147,0.790701234982402,0.0938729692415266,-0.478567968692096,0.47465512040187,0.00391284814119086
1.6545,-0.93661694587768,0.692581650570383,0.244035295233501,-0.515307423176013,0.42530799721999,0.0899994257868941
1.655,-0.96559706543334,0.577408403886022,0.388188661479763,-0.539358299548382,0.365488378923886,0.173869920439437
1.6555,-0.970800982569327,0.44801744995337,0.522783532556304,-0.550128382959925,0.296669223585488,0.253459159178005
1.656,-0.95210055881352,0.30759481668207,0.644505742081169,-0.547352481502846,0.220545088339017,0.326807392960861
1.6565,-0.909956255601235,0.159598178748871,0.750358076812693,-0.531098944291387,0.138990399702826,0.392108544384054
1.657,-0.84540581433852,0.0076717058803761,0.837734108430059,-0.501767988526684,0.0540133073580479,0.447754680967627
1.6575,-0.760038672175138,-0.144443673436281,0.904482345595613,-0.460081840590114,-0.0322937724468912,0.492375612844443
1.658,-0.655956856955819,-0.293002366318435,0.948959223271116,-0.407066949189772,-0.117805672691682,0.524872621702079
1.6585,-0.535723208553838,-0.43434637102069,0.970069579584134,-0.344028720132406,-0.200416805264387,0.544445525235024
1.659,-0.402298272738388,-0.564995326369708,0.967293599130209,-0.272519361273672,-0.278093012299325,0.550612373432816
1.6595,-0.258967423119455,-0.681732219489576,0.94069964264311,-0.194299671206369,-0.348921645311878,0.543221316403106
1.66,-0.109259932441917,-0.781682606475475,0.890942538962595,-0.111295679477661,-0.41115866985214,0.522454349242536
1.6605,0.0431378993901387,-0.86238536980201,0.819247470467086,-0.0255512171175208,-0.463271603797072,0.488822820857351
1.661,0.194473530945939,-0.921853345380638,0.727379814498565,0.0608223994916451,-0.503977252252881,0.443154852735428
1.6615,0.341020582954752,-0.958622232327887,0.617601649444081,0.145698367555252,-0.532273309479634,0.386574941930643
1.662,0.479170571759586,-0.971786656000809,0.492616084317501,0.226986758516485,-0.547463030291416,0.320476271813107
1.6625,0.605521794056885,-0.96102247070038,0.355500676723228,0.302685980975717,-0.549172394679603,0.246486413773037
1.663,0.716963059649097,-0.926594719297541,0.209631659729668,0.370932071652588,-0.537359312636401,0.166427241082236
1.6635,0.810750312862794,-0.869351132508777,0.0586008197266983,0.430044582260936,-0.512314659784898,0.0822700776492329
1.664,0.884574206956399,-0.790701236170604,-0.0938729707075764,0.478567968646722,-0.47465512102182,-0.00391284747586732
1.6645,0.936616943864535,-0.692581648567463,-0.244035295223277,0.515307423769302,-0.425307996973213,-0.08999942662696
1.665,0.965597065998557,-0.577408405888711,-0.388188660042291,0.539358298651157,-0.365488378701068,-0.17386991976503
1.6655,0.970800983667888,-0.448017448758908,-0.522783534849326,0.550128383796536,-0.296669224184049,-0.253459159416054
1.666,0.952100556508409,-0.307594816593193,-0.644505739864934,0.547352481063875,-0.220545087609368,-0.326807393251539
1.6665,0.909956258172727,-0.159598180074423,-0.750358078058632,0.531098944158958,-0.138990400268077,-0.392108543686375
1.667,0.845405812540376,-0.00767170386336148,-0.83773410864893,0.501767989172271,-0.0540133071838654,-0.447754681787396
1.6675,0.760038672480972,0.144443671547403,-0.904482344012569,0.460081839696154,0.0322937727307602,-0.492375612234352
1.668,0.655956858253124,0.293002367318174,-0.948959225568159,0.407066949969339,0.117805672068146,-0.524872621858112
1.6685,0.535723206190298,0.434346371305955,-0.970069577505859,0.344028719780788,0.20041680597316,-0.54444552559218
1.669,0.402298275205601,0.564995324925347,-0.967293600153063,0.272519361059079,0.278093011791992,-0.550612372710889
1.6695,0.258967421544854,0.681732221500537,-0.940699643079469,0.194299671895827,0.348921645414781,-0.543221317195467
1.67,0.109259932496137,0.78168260471402,-0.890942537255359,0.111295678595503,0.41115867019178,-0.522454348700017
1.6705,-0.0431378979148997,0.86238537060539,-0.819247472745704,0.0255512178348445,0.463271603155645,-0.488822820933248
1.671,-0.194473533342565,0.921853345851398,-0.727379812572699,-0.0608223997561134,0.503977252934767,-0.443154853152846
1.6715,-0.341020580611431,0.958622230783646,-0.617601650243162,-0.14569836784653,0.532273309032742,-0.386574941192473
1.672,-0.479170573104624,0.971786657986459,-0.492616084958115,-0.226986757791659,0.547463030324992,-0.320476272571509
1.6725,-0.605521794244392,0.961022469078159,-0.355500674913499,-0.302685981838007,0.549172395069412,-0.246486413300556
1.673,-0.716963058017598,0.926594719904896,-0.209631661968522,-0.370932071001889,0.537359311984045,-0.166427241080578
1.6735,-0.810750315267889,0.869351133152787,-0.0586008179656119,-0.430044582439297,0.512314660434396,-0.0822700781203693
1.674,-0.884574204754571,0.790701234545595,0.0938729701307578,-0.478567969008683,0.474655120637202,0.00391284822244705
1.6745,-0.936616944976464,0.692581650509592,0.244035294393077,-0.515307423017603,0.425307996940005,0.0899994259084684
1.675,-0.965597066415968,0.577408404415696,0.388188661932716,-0.539358299486035,0.365488379135187,0.173869920165789
1.6755,-0.970800981902421,0.448017449172461,0.522783532670307,-0.550128383216016,0.296669223527543,0.253459159492041
1.676,-0.952100558898295,0.307594817397035,0.644505741450978,-0.547352481157963,0.220545088221518,0.326807392733477
1.6765,-0.909956256127894,0.159598178387751,0.750358077700472,-0.531098944585168,0.138990399946886,0.392108544433776
1.677,-0.845405813418059,0.00767170574493303,0.837734107645042,-0.501767988402101,0.0540133070869605,0.447754681114132
1.6775,-0.76003867311472,-0.1444436728631,0.904482345962013,-0.460081840496659,-0.0322937722583756,0.492375612562471
1.678,-0.655956856376358,-0.293002367094415,0.948959223467634,-0.407066949461726,-0.117805672722262,0.524872622004614
1.6785,-0.535723208542423,-0.434346370356693,0.970069578908721,-0.344028719793179,-0.20041680540275,0.544445525034159
